,en,ja
story.Prologue_Ending_K7_2.event_already_open.text.968cf294d2af6de9dd83458665405ede889fc78c,It's already unlocked.,もう鍵は開いている。
story.Prologue_Ending_K7_2.event_check_secret_open.text.69851c726ce9e637dcadf0296c0a917ad54d47a0,...but there's nothing inside.,……しかし中には何も入っていない。
story.Prologue_Ending_K7_2.event_check_secret_open.text.065e84d428f9061a0f9e2bdd5b2b5ea32f3ce38d,There's some schematics for some sort of machine you don't really understand.,よく分からない何らかの機械の配線図がある。
story.Prologue_Ending_K7_2.event_check_secret_open.text.2669cc23ec9a922ca884004193bd4d8e1e422462,What's that?,それは何？
story.Prologue_Ending_K7_2.event_check_secret_open.text.0c3ed6989600027bf834b5dbdae6827da3e4d4be,Not a clue... but I'm taking it.,見当もつかないわ……でも、持って行きましょう。
story.Prologue_Ending_K7_2.event_read_documents.text.b6d244c0e8be2cce7eda1c8f8cb17b9403609fb7,There's some official-looking documents here.,公式文書らしい書類がある。
story.Prologue_Ending_K7_2.event_read_documents.choice.text.669a9ddb15528f0c9e0a315083c81df92b8ff096,Read them?,読む？
story.Prologue_Ending_K7_2.event_read_documents.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,読む
story.Prologue_Ending_K7_2.event_read_documents.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,読まない
story.Prologue_Ending_K7_2.event_read_documents.text.a5ca1b97a1d069b86e0927db82527e5d7e1bd2ab,${img:stamp_council} MEETING 176 NOTES,${img:stamp_council} 会議176   議事録
story.Prologue_Ending_K7_2.event_read_documents.text.dc1e8cf357a7552a09f1c308741b2556785d773a,"""...disagreements on the distribution of the....""",「……の配分に関する意見の不一致……」
story.Prologue_Ending_K7_2.event_read_documents.text.1d80b08628c2a209bcba2bc7c76a233ab49cf275,"""...is still not participating in our...""",「……は未だ我々の……に参加せず……」
story.Prologue_Ending_K7_2.event_read_documents.text.4d0f59cdc6688ae030f8d700c2d5f613168c5ecc,"""...the secondary duty of guardians...""",「……守護者の二次的責務……」
story.Prologue_Ending_K7_2.event_read_documents.text.cf254c0dae43bb11b82ce3b653d2e38ef10e9f2e,"""...collection of stones from every...""",「……あらゆる……からの石の収集……」
story.Prologue_Ending_K7_2.event_read_documents.text.38044dad011511ac1b7b0d254e9d631fe371af5b,The document continues making little sense for several pages.,ほとんど意味の分からない内容が数ページにわたり続いている。
story.Prologue_Ending_K7_2.event_read_documents.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,……
story.Prologue_Ending_K7_2.event_read_documents.text.ef64927c0bf5c8cbe1cdaea41eacb7d07a69075f,What the hell am I reading?,一体何なのこれ？
story.Prologue_Ending_K7_2.event_read_documents.text.fa49cb307a80bc610227416132f07cab1aeb96d4,There's nothing else of interest.,他に興味を惹くものはない。
story.Prologue_Ending_K7_2.item_hairpin_on_locker.text.2b8fda9ac1cebeb67f7ea62bcc3893c4f740d7a4,The hairpin doesn't fit into this lock.,この鍵にはヘアピンは合わない。
story.Prologue_Ending_K7_2.item_locker_key_on_locker_0.text.fb381db7c0a340bf5cd960965b3dd6f01f4faf62,The key fits!,鍵が合った！
story.Prologue_Ending_K7_2.item_locker_key_on_locker_1.text.fb381db7c0a340bf5cd960965b3dd6f01f4faf62,The key fits!,鍵が合った！
story.Prologue_Ending_K7_2.item_locker_key_on_locker_2.text.fb381db7c0a340bf5cd960965b3dd6f01f4faf62,The key fits!,鍵が合った！
story.Prologue_Ending_K7_2.item_locker_key_on_locker_3.text.fb381db7c0a340bf5cd960965b3dd6f01f4faf62,The key fits!,鍵が合った！
story.Prologue_Ending_K7_2.item_locker_key_on_locker_4.text.fb381db7c0a340bf5cd960965b3dd6f01f4faf62,The key fits!,鍵が合った！
story.Prologue_Ending_K7_2.item_locker_key_on_locker_5.text.fb381db7c0a340bf5cd960965b3dd6f01f4faf62,The key fits!,鍵が合った！
story.Prologue_Ending_K7_2.item_scissors_on_box.text.cba0c319a35c611ede5affd4f780250d381eb0bb,They're already open.,もう開いている。
story.Prologue_Ending_K7_2.item_scissors_on_boxes.text.5aec51140ff6d1854154a6cd35bdb15fc52f54ea,"Despite your best efforts, you can't seem to cut through it with your scissors.",どんなに頑張っても、ハサミでは開けられそうにない。
story.Prologue_Ending_K7_2.misc_box.text.1fb8cc1aca928f0182605a85cb73810dcaf39011,The box contains an assortment of differently sized blue cans.,箱には様々な大きさの青い缶が取り揃えられている。
story.Prologue_Ending_K7_2.misc_boxes.text.acdf8964d0362810fc7d3502e004502935bab29a,A pile of boxes.,箱の山。
story.Prologue_Ending_K7_2.misc_boxes.text.16739b61c5a3940f01aa28b51a8457767a5e884c,They seem to be stuck together.,お互いにくっつけられているようだ。
story.Prologue_Ending_K7_2.misc_locker_0.text.94a4dd129aa729d334c0ac9fd8bce27178a7a923,A large locker.,大きいロッカー。
story.Prologue_Ending_K7_2.misc_locker_0.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,鍵がかかっている。
story.Prologue_Ending_K7_2.misc_locker_1.text.94a4dd129aa729d334c0ac9fd8bce27178a7a923,A large locker.,大きいロッカー。
story.Prologue_Ending_K7_2.misc_locker_1.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,鍵がかかっている。
story.Prologue_Ending_K7_2.misc_locker_1.text.fd51e733316179af56612c97466a9b4d726d899e,It's empty.,中は空だ。
story.Prologue_Ending_K7_2.misc_locker_2.text.94a4dd129aa729d334c0ac9fd8bce27178a7a923,A large locker.,大きいロッカー。
story.Prologue_Ending_K7_2.misc_locker_2.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,鍵がかかっている。
story.Prologue_Ending_K7_2.misc_locker_2.text.fd51e733316179af56612c97466a9b4d726d899e,It's empty.,中は空だ。
story.Prologue_Ending_K7_2.misc_locker_3.text.94a4dd129aa729d334c0ac9fd8bce27178a7a923,A large locker.,大きいロッカー。
story.Prologue_Ending_K7_2.misc_locker_3.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,鍵がかかっている。
story.Prologue_Ending_K7_2.misc_locker_3.text.fd51e733316179af56612c97466a9b4d726d899e,It's empty.,中は空だ。
story.Prologue_Ending_K7_2.misc_locker_4.text.94a4dd129aa729d334c0ac9fd8bce27178a7a923,A large locker.,大きいロッカー。
story.Prologue_Ending_K7_2.misc_locker_4.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,鍵がかかっている。
story.Prologue_Ending_K7_2.misc_locker_4.text.fd51e733316179af56612c97466a9b4d726d899e,It's empty.,中は空だ。
story.Prologue_Ending_K7_2.misc_locker_5.text.94a4dd129aa729d334c0ac9fd8bce27178a7a923,A large locker.,大きいロッカー。
story.Prologue_Ending_K7_2.misc_locker_5.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,鍵がかかっている。
story.Prologue_Ending_K7_2.misc_locker_5.text.fd51e733316179af56612c97466a9b4d726d899e,It's empty.,中は空だ。
story.Prologue_Ending_K7_2.misc_trashcan.text.c151769c9b7c94a0bc56d85aa96edce07f38d4be,A trash can.,ゴミ箱。
story.Prologue_Ending_K7_2.misc_trashcan.text.d9caba56ca74e503dd949c7f046065cdc0baeced,Some black goo can be seen at the bottom.,底に黒いべとべとしたものが見える。
story.Prologue_Ending_K7_2.misc_trashcans.text.524ba9242b167d28e4d3d5615933c89db8318513,A pile of trash cans.,ゴミ箱の山。
story.Prologue_Ending_K7_2.misc_trashcans.text.16739b61c5a3940f01aa28b51a8457767a5e884c,They seem to be stuck together.,お互いにくっつけられているようだ。
story.Prologue_Ending_K7_2.move_enter.text.0d760fca65be9738a45f425251b44d19a6361ebf,So... maybe the ritual worked?,じゃあ……もしかして儀式が成功したってこと？
story.Prologue_Ending_K7_2.move_enter.text.bcbcd2ecd528289215e2b6121962cc4527ffeaa4,But the ritual wasn't finished.,でもまだ儀式は終わってない。
story.Prologue_Ending_K7_2.move_enter.text.7344407b3355bbb7fcc931167e97e2f0d3b3529d,"Which means either the school has a bunch of cursed-looking rooms and a dark secret, or this isn't the school anymore.",つまり、この学校に無数の呪われてそうな部屋と何らかの暗い秘密があるか、それともここがもう学校じゃないか、そのどちらかね。
story.Prologue_Ending_K7_2.move_enter.text.abc7624541537b0f7c2de0907516ceaf9b2d647e,"If it's not the school, then what is it?",ここが学校じゃないなら一体何なの？
story.Prologue_Ending_K7_2.move_enter.text.f6d83edc45f0b5db67760927a6156b71e8e91b28,No idea.,さあね。
story.Prologue_Ending_K7_2.move_enter.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,...,……
story.Prologue_Ending_K7_2.move_enter.text.72192521ede59e8e0711d87f59e11e46de95adea,"In any case, it doesn't feel too dangerous, so let's continue.",いずれにしても、そんなに危険な感じはしないし、先へ進みましょう。
